addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold
0xaab2f49e5b0779d50fef7d801bb4bc682dbbdb9e;0.0;0.01477;0;0;0.0;0.0;0.0;0;0;0;1.243;11.34;0.1125;0.09773;0.0;0.0;0xc27709ed40d447742ea6c932a870749072a5d9ab4073fac628761fc9f8f618f5, 0x9f845c1df5abf488bb43979ac9ee15c2b4dc62011b3ae332a9c8bfe2df404bcf, 0x7ce8efd583388296b80c6ecd8a1e48cbd2fa56a22412390a692e98aa7c26c8c5, 0x242bb1640b53498900d1558c6714ed121e19d884ec5aefebb65aeb5d198b04b1, 0xec6af38ac84215d30f21451f3a9090326c280850bce00976c101e1e44955b6c6, 0xa873caac7e377dc4ee8bf5fa4ee18400734320ac38d1117169f9983ef0095ca7, 0x920eaffbf916c382cfa6909bbd3e06eb669a996eb3c2360174b1187f6bf44931;0.0;0.0;0;0;
0x735ec57eae676c8512be925b071cdf003b7ef42c;0.0;0.0;4;6;590.0;590.0;0.0;90;90;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x13fedc7c99d2f97d1e881d7233772cd8beb97f43;0.37;0.0;1;0;0.37;0.0;0.37;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x149c5af238267f6e3a1745570df1280f939b4a88;0.0;0.0;1;1;3.09;3.09;0.0;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x3acf3625ece9274f389808906b6176d00d6aa785;0.0;0.0;2;2;7.09;7.09;0.0;6;6;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x8c8e23fa04557d9e0b579ea5fe45051e934f147d;0.0;0.0;4;3;60.0;60.0;0.0;30;30;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x51f7d18b5cd7695e0d3b46b0a0f2647d06d4a248;0.0;0.0;1;1;9.19;9.19;0.0;9;9;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xdd84d5952eeff0f0474cecab7654b067d05d1953;0.0;0.3672;3;1;31.61;31.61;0.0;31;31;0;0.0;31.61;0.3672;0.0;0.0;0.0;0x8a40012e4bd14dc1729394c5990021dd4e9be7fdfaf71ab90e9b19ac7027a781;0.0;0.0;0;0;
0x4645057b189150225f7b6d7229bd9cc190e7b239;1.0;0.0;1;0;1.0;0.0;1.0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb5f7ae9b7df0344c74c188cf0df2e194e4cc6c36;0.0;0.0;1;1;1.23;1.23;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x65459003aabe0dc3843fc35df8d9ed856c214259;0.0;0.0;1;1;5.11;5.11;0.0;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x1ea565809cc3883548f2e5f7a429e0cc88fdd6fb;0.0;0.0;1;2;10.0;10.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xe44fb80951c7313cf9eb42d7c484e10e3060ce8c;1.76;0.0;1;0;1.76;0.0;1.76;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x11800b759fb5f1e818d6b9e9f21bfac2f0bb4636;0.02;0.7118;2;1;53.02;53.0;0.02;53;53;0;0.0;53.0;0.7118;0.0;0.0;0.0;0x80f18b58ae59011bf5c76b090bca66f6a94983aa431e429413b6a65941b64d1a;0.0;0.0;0;0;
0xba7f114b61223ce2ed6d8b04938c5f0812960f58;0.0;0.0;1;1;10.76;10.76;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xaef628a3a8bcc40dde915f98f018d6ea64fbaf8f;0.48;0.0;1;0;0.48;0.0;0.48;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xd7f883d753314b6caa752498b354ce48b327389c;6.0;0.0;2;0;6.0;0.0;6.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xee4daac843bc54a23c80f5176882e7eeacde0371;0.0;0.1807;1;1;10.98;10.98;0.0;10;10;0;0.0;10.98;0.1807;0.0;0.0;0.0;0xc18e9468dfd8ad0bf5c218058024b087d4e86299a544654b0ac867a80123e347;0.0;0.0;0;0;
0xa396772fb4ebcf668e04c28049b965ec4ad7107a;2.0;0.0;1;0;2.0;0.0;2.0;2;0;2;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x9c156e778bcb111b7e803f8773b6b3a627a1ac84;2.0;0.0;3;5;45.0;43.0;2.0;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xc5a36e8814aa68eca9ecb6996a158e8e8e8425f6;0.33;0.0;1;1;9.33;9.0;0.33;9;9;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xfefea9427bef554cc572bc4e887a0b9642fd8f4e;0.0;0.0;1;1;20.0;20.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x0b7d339fbfa5c70c1bb23bdad8e97f2858742958;0.0;0.0;1;1;5.0;5.0;0.0;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xa673e962941e0f87ce557989cbc7901560d349d6;0.0;0.0;1;1;2.2;2.2;0.0;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x8ddca93a427de6121120d0b594c141e6efe21c4a;0.0;0.0;1;1;0.85;0.85;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xbd6b8d8fa94f7307840252548549b56a33c98054;0.01;0.0;3;1;40.01;40.0;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xbd40a797140f36e608b41390e669f11e79de4b6d;1.0;0.0;1;0;1.0;0.0;1.0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x4626881cf95d749980ad2be20a81b32f962d2c3c;0.0;0.0;1;1;2.73;2.73;0.0;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb647e8db0cc1c8a271e196a591a3a3e44e43b04b;0.0;0.0;2;3;45.0;45.0;0.0;20;20;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xa3755019a5a5eed961e763b042bc177f44066cc9;0.0;0.0;1;1;4.52;4.52;0.0;4;4;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x6c90a82b53356cdba4a1d0ab49d9ba11de2a722f;0.0;0.0;2;1;17.15;17.15;0.0;17;17;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x7e34c4564edb5477f07ecce29b4a1329441a63b5;0.66;0.0;2;1;1.58;0.92;0.66;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x6d4e2e9c590525fca0286213b3c616620132ff78;0.0;0.0;2;1;11.26;11.26;0.0;11;11;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x7b10680ee6ff24bdc7300781fb01adb60677ecb4;2.78;0.0;1;0;2.78;0.0;2.78;2;0;2;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x47b7cb3481931257c0689bf698901c34157d7046;0.0;0.0;1;1;0.79;0.79;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x05a2abee70322486f10110d4e1e866f6e3cbe9d1;0.0;0.01099;1;1;1.15;1.15;0.0;1;1;0;0.0;1.15;0.01099;0.0;0.0;0.0;0x5b2a04d157fadde847f0552020dbdc573ff9c5c614ec0482e73d37debc2ff74b;0.0;0.0;0;0;
0x16361bfd5486b2a5804bca01c5e29479166b274b;4.1;0.0;1;0;4.1;0.0;4.1;4;0;4;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xfb8449d81da989ca9a0ece61c7bf3d9765738c4f;1.0;0.0;1;0;1.0;0.0;1.0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x5f655ae9bf51c68eb764f2ca597b49dd23c744e8;0.0;0.0;1;2;50.0;50.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x7d5d6ece83b737b409a5167f53f994990ef8c567;0.0;0.1053;1;1;8.84;8.84;0.0;8;8;0;0.0;8.84;0.1053;0.0;0.0;0.0;0x7ec8d937ea0a2367bb79781a159aba6468392a2ed492c1ab84302c794b0a4e35;0.0;0.0;0;0;
0x21767af935976596bdd23bfa32e27618f72a9116;0.04;0.0;1;0;0.04;0.0;0.04;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x1cb1452b4250fc8404f0b2f0d3de740838672891;0.35;0.0;1;0;0.35;0.0;0.35;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x918376a2d264de9992ac3c38d439896565a12054;0.0;0.0;3;3;4.06;4.06;0.0;4;4;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xfeb37531c44701c48fa9dd4256dc0f97c9568cb9;0.0;0.0;2;3;9.44;9.44;0.0;9;9;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x603286354b6f36aab5dac6fccb69880435b80ff0;0.0;0.0;1;1;4.15;4.15;0.0;4;4;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x0000000000000000000000000000000000000000;-3209.0;0.0;0;0;0.0;0.0;0.0;0;3209;-3209;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xc34cce4331a680b416027ac783800146067748b0;0.0;0.0;1;1;1.0;1.0;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xe1666213aad05dedff07886813fa3b88f7efca21;0.0;0.04353;2;1;4.45;4.45;0.0;2;2;0;0.0;4.45;0.04353;0.0;0.0;0.0;0x9bcfed3dc3c554b23ea11c0b87aabfca0389433c283a3b3c2ba12589a0b681d6;0.0;0.0;0;0;
0x42f5998daed3c564d4fc7a8529a1acfe025f8818;0.13;0.05205;1;2;6.26;6.13;0.13;6;6;0;0.0;3.0;0.05205;0.0;0.0;0.0;0xe07a46307ffbbc6cdcacfde3a9ac46f72dc57c2ed743bfb03bbe3acdc6e45fde;0.0;0.0;0;0;
0x931ad8a45831e80659e3e7c549453411a1785432;0.0;0.0;1;1;1.47;1.47;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xae93b9fdf50b7d158c38647af5d22f3e187f6a05;0.0;0.01243;0;0;0.0;0.0;0.0;0;0;0;0.000213;1.0;0.01243;2.707e-06;0.0;0.0;0x27b6b2dfb4cf2a74ce5e0abf5b6747713ff89b4b189827856d827a31c55efd01, 0xf62c36bfcf91d6b5cb68ec5541fb6aba0d3c4ecf890825beec5fa6bf02f5a43b;0.0;0.0;0;0;
0xeee92583bb0a5925fc40c6d86a34326d4ed8b513;30.66;0.0;2;0;30.66;0.0;30.66;30;0;30;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xf4c40bf7070fdcf64ecf020bcb583738a6cc3bcd;0.0;0.03362;1;1;2.0;2.0;0.0;2;2;0;0.0;2.0;0.03362;0.0;0.0;0.0;0x7f87267adc2ad03db29a455e27b9799066681f82fb5dff417be503ec58e27360;0.0;0.0;0;0;
0x8d67642e5f047056b915b6cb5f317cabdbf0d894;0.0;0.0;2;4;16.0;16.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x81352a401b713514e5ce5b0ddc4644b6b9b64ad4;5.97;0.0;1;0;5.97;0.0;5.97;5;0;5;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xa02a61a4308d8bd686d8d1cc4aa35d781198275f;0.0;0.0;2;1;18.0;18.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x5ca887615098c6b7409f18502f57538205c768d9;100.0;0.0;1;0;100.0;0.0;100.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x3850cd6f7516fc46dd3aecf410fa84a0358968f5;0.0;0.1291;1;1;12.95;12.95;0.0;12;12;0;0.0;12.95;0.1291;0.0;0.0;0.0;0xf681ea395ba24bc68a1d48f2cd72f65dbc3234f18513e597ab97f05fd04d83fd;0.0;0.0;0;0;
0x56778e8e29790c59bc00e5be8afbe026e7384cbf;0.0;0.0;1;1;5.0;5.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x02f154e8fd459c7dd6842dd25b34480e9b2c0aab;0.0;0.0199;1;1;2.01;2.01;0.0;2;2;0;0.0;2.01;0.0199;0.0;0.0;0.0;0x9f5589721e53e48e700636e0c948f7379360ccea4c08ae0aa275c7aa7e9d8b7c;0.0;0.0;0;0;
0x731a35932d035c544961801cfe59505a830d09dc;0.0;0.0;3;2;21.69;21.69;0.0;21;21;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xaac98d26f483fcbc10aa849f01f82d50fb162567;0.71;0.0;2;1;26.57;25.86;0.71;25;25;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x8ecec0c9367490d2044aaff4030ad0becc33218b;0.0;0.0;1;1;10.0;10.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x36032340e255d6ecbe5bec5a37f3f9a26d134b59;0.0;0.0;4;3;7.36;7.36;0.0;6;6;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x064635e9ad8c770df4430180f0983ac0c59fc3fc;0.0;0.0;1;1;43.1;43.1;0.0;43;43;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xe35b709699f85d1c650f7d595030e1a7aba4621e;0.0;0.0;2;2;3.0;3.0;0.0;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x3df46c224e17dcdcc7ccb33ee8daf43b701c8888;0.0;0.0;1;1;5.52;5.52;0.0;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x505aac7495abc1f749bd83f627e190f2d99f1fdc;0.0;0.0;1;2;40.0;40.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x7644350b9189c8f3b446bb7d93b5d4a57dec443c;0.5;0.0;1;0;0.5;0.0;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x6fb9c52d235ff2d08d153fb7d969066f51a5fb37;0.59;0.0;1;0;0.59;0.0;0.59;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xc5aa32182a7bfccbcad5907a334de1957ce4ccd6;0.0;0.03273;1;1;2.74;2.74;0.0;2;2;0;0.0;2.74;0.03273;0.0;0.0;0.0;0x53ae34566714dab9fee0264f9b2a5ef69beba1f2b9d61ab5b6fd6aa81d3ca0cb;0.0;0.0;0;0;
0x5deb43d9e928346c0ad2d7bfd5f95a55bd2324a7;0.0;-0.04426;0;0;0.0;0.0;0.0;0;0;0;7.005;0.0;0.0;0.04426;0.0;0.0;0x843cd449f0f518a4407919201f984387f2f442e75f6f52fca7c4a70173b7a8f1, 0x17a408932260cab966d93022ad41ff5aa49ca3c9351dc54a54f2fd6d31651d09, 0xba0ff21f09672e0e17637b3333eb1e0a9d06ae25d3fe1b4a7a119b621d0f403f, 0x30228115806f36b8fa87dcae26578fe8ce4e94ece1db38806820b53b80fed724, 0x26bf23e7773b8cc973a3aeed6a25584ab65325eef2d877d89fb87cb4d2fbaf00, 0xe8f286679bb0a7b29b41a385a7d8cbb58f8827bf2156e65ba4016fc46cf72ddb, 0xa84551130c719a1c63b42c6817e8944fbe61a0c7d8f7498df98a95bcff14749c, 0x3eabe9d5c451c01fcdb4b24b357ada2d1de9fbdf4d0116ba2fbb3f75d28269e1, 0xfaa80a1db609e55e46e4f1952724f93ba8287389d74194aa9bfee9fff8a3afbe, 0x773185c1fcb389877d7d67f520bfad15247663ff17aa41481d5a8291553b8883, 0xbbfade9ee7fa8a500d2da4624a2401b984e29c919d696e461cd35afc142b0c86, 0xb97195e65137d4d13b2009cf225519d1550e9f66431f574f90789c44c7425fa9, 0x93c05acce2e80a55430e1bfbdf0231da154571e820a86c2f8ea42cb8f7c58233, 0x3bdb2632bafaac7d67ceb38cce6ab744022cad3ea5771bdb7d3dd0f84c0b3064;0.0;0.0;0;0;
0x4b42cb98ff7cda7b87ec532a519cdc3741035f60;35.36;0.0;3;0;35.36;0.0;35.36;35;0;35;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x4db22c07b7df5298531823e669850d22a1df3077;1.05;0.0;1;0;1.05;0.0;1.05;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xa26fd3a6f01fa472ce609fa490f2e3e4f1534a15;4.9;0.0;1;0;4.9;0.0;4.9;4;0;4;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x1ea17b373fb0484e9a9021f04d92ea063ce1f597;2.0;0.0;1;0;2.0;0.0;2.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x53c7f89db15c6251af5ab3fb3bc4771bf8deb4fa;0.0;0.0;1;1;5.36;5.36;0.0;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x4f1115e0b720528b2392256c610c5dda0c52521c;0.0;0.0;1;1;10.0;10.0;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x5a365f423f99cc8a89b045e145caa318f0f2f3ac;4.7;0.0;1;0;4.7;0.0;4.7;4;0;4;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x12345fb2cb4b0b9997b3f36d793ba4fc5a250e3d;0.0;0.03586;1;1;3.0;3.0;0.0;3;3;0;0.0;3.0;0.03586;0.0;0.0;0.0;0x26c459a041496635454a93cca419ea9ce5be396181f29c6ea61519241c661832;0.0;0.0;0;0;
0xf371875a0045b1fd61c4b1166066dcdd3bde1bb6;0.0;0.0;2;2;12.0;12.0;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x249aa765beae36e20e4ea2911ff0367b8712d9de;0.0;0.3577;1;1;20.13;20.13;0.0;20;20;0;0.0;20.13;0.3577;0.0;0.0;0.0;0xd306e05f77dcda3882dfa950a11faeec5552806b4fd938dcb7556626c7948a81;0.0;0.0;0;0;
0x77772275ac16aef12eae0ac9958360044012d777;1.27;0.0;1;0;1.27;0.0;1.27;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb008b260a1a5cb0d11609a71ca454859e106dcf6;1.2;0.0;5;2;4.2;3.0;1.2;4;3;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x06a1d26b6dbcdb60b66a685615c344d38246c995;0.0;0.0;1;1;10.0;10.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xa2bbd09ffe6a96ba31aae13118a5997a93034d80;0.99;0.0;1;0;0.99;0.0;0.99;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x14cc15076a910f4ec1e3a4a59f29b9502556168f;20.98;0.0;1;0;20.98;0.0;20.98;20;0;20;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb6ab823c6f694ee942021ebb8783dff9dbef6ce0;0.0;0.0;2;1;5.0;5.0;0.0;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xe9f5f982b1bd414d7d2a51b1e806292c6d49745a;0.01;0.0;1;0;0.01;0.0;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x6c2973ba38fd8fab5316942481dfa4fc84647dd9;0.0;0.0;1;1;2.0;2.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x97aa9ab6e54031e866eceb33b214271f257aace6;0.0;0.0;1;1;1.23;1.23;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x74bd8dd1be27b5929c5d8d32d0f90bb2ca09945a;0.0;0.05939;2;2;11.69;11.69;0.0;11;11;0;0.0;5.24;0.05939;0.0;0.0;0.0;0x436a890e47e1264333a70ab86ab162a09de0c2922ea8795f66baf3e5a5f6b17d;0.0;0.0;0;0;
0x3b69efcbecb6be7e9857c0bf5ecce892367b5549;0.0;0.0;2;2;70.0;70.0;0.0;10;10;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x907af9dee0405f92be69c87cf48adbfc97994b3a;0.98;-0.01809;1;0;0.98;0.0;0.98;0;0;0;0.9852;0.0;0.0;0.01809;0.0;0.0;0x17b6582693d104d6dd0d05e9b3309805dfc9a9a94782860aab16b52298de263f;0.0;0.0;0;0;
0xaf9727db19690208db9df2c9ebfd0ef891cd30c1;0.34;0.0;1;0;0.34;0.0;0.34;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xbfcd6930452acf433c18ea26a1379e287680955d;0.0;0.0;2;1;20.61;20.61;0.0;15;15;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xd7b16a6b6b7072154f6c15039afa7c2740013a5e;0.0;0.0;2;1;11.4;11.4;0.0;11;11;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x278e8d7fc6e198fb1b0e891d41a48313825e4eaa;0.0;0.0;9;10;147.0;147.0;0.01;125;125;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb74a7a36c694f2f08b037b873dfc1755230caa0c;0.04;0.0;2;1;5.04;5.0;0.04;5;5;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xffddde68c50afdad4e6b3dce6dd260ac2a5a7864;1.94;0.0;2;0;1.94;0.0;1.94;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x0605afb3a02b0b069d0caee84461b12300996e2d;0.0;0.0;1;2;5.0;5.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xbdf59d84e393cc0728409144512d2cd62c3278f3;0.0;-0.00054;1;1;0.99;0.99;0.0;0;0;0;1.0;0.99;0.01768;0.01822;0.0;0.0;0x7f83c9e1ec3c211c452533cc8ebc27573fc32060d61bfbdb93de2c9c3d685ca4, 0xd61bdfe701e5e41d713bff41f35dfc3b3a94b21a12ccea88a163f3fc391de358;0.0;0.0;0;0;
0xa0553e045fda77dbbe741ffd5b58ae7cefdab380;0.0;0.0;1;1;25.0;25.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xc7cb79afbff9a5972e37cd7467ac58a8cf8fc8d6;0.0;0.0;1;1;22.81;22.81;0.0;22;22;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x1dde7b19fa3150a06e3307341e9b8cc5e95122d4;0.0;0.1384;1;1;13.61;13.61;0.0;13;13;0;0.0;13.61;0.1384;0.0;0.0;0.0;0x3f2f9bd621ca16f7de1a3b4ed6363a950de14016445b0c554b889775aef531c6;0.0;0.0;0;0;
